date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:21:13	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22609e4c2c-7918%22	https://starboy.finance/wp-content/plugins/pearl-header-builder/assets/frontend/assets/css/font-awesome.min.css?ver=1.0	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/plugins/pearl-header-builder/assets/frontend/assets/css/font-awesome.min5152.css	(from https://starboy.finance/)
03:21:14	89496/89496	---MCZ	200	added ('OK')	application/javascript	etag:W/%22609def6a-15d98%22	https://starboy.finance/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-includes/js/jquery/jquery.min9d52.js	(from https://starboy.finance/)
03:21:14	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%22609def6a-2bd8%22	https://starboy.finance/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://starboy.finance/)
03:21:14	1681/1681	---MCZ	200	added ('OK')	application/javascript	etag:W/%22609e4c2a-691%22	https://starboy.finance/wp-content/plugins/stm-configurations/megamenu/assets/js/megamenu.js?ver=1.4	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/plugins/stm-configurations/megamenu/assets/js/megamenuad05.js	(from https://starboy.finance/)
03:21:14	11568/11568	---MCZ	200	added ('OK')	application/javascript	etag:W/%22609e45ba-2d30%22	https://starboy.finance/wp-content/themes/crypterio/assets/js/jquery.simplemarquee.js?ver=2.4.1	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-content/themes/crypterio/assets/js/jquery.simplemarquee8066.js	(from https://starboy.finance/)
03:21:15	20708/20708	---MCZ	200	added ('OK')	application/json	date:Wed,%2019%20May%202021%2001:21:14%20GMT	https://starboy.finance/wp-json/wp/v2/pages/12	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-json/wp/v2/pages/12.json	(from https://starboy.finance/)
03:21:15	100402/100402	---MCZ	200	added ('OK')	application/json	date:Wed,%2019%20May%202021%2001:21:15%20GMT	https://starboy.finance/wp-json/	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-json/index.html	(from https://starboy.finance/)
03:21:15	804/804	---MC-	200	added ('OK')	text/xml	date:Wed,%2019%20May%202021%2001:21:15%20GMT	https://starboy.finance/xmlrpc.php?rsd	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/xmlrpc0db0.php	(from https://starboy.finance/)
03:21:15	1045/1045	---M--	200	added ('OK')	text/xml	etag:%22609def6a-415%22	https://starboy.finance/wp-includes/wlwmanifest.xml	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-includes/wlwmanifest.xml	(from https://starboy.finance/)
03:21:15	2169/2169	---MCZ	200	added ('OK')	application/json	date:Wed,%2019%20May%202021%2001:21:15%20GMT	https://starboy.finance/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fstarboy.finance%2F	C:/Users/Emilio/Documents/GitHub/StarDog/starboy.finance/wp-json/oembed/1.0/embedc9e9.json	(from https://starboy.finance/)
